Timestamp,Room,X Ref,Y Ref,W Ref,BSSID,SSID,RSSI,Channel
16:35.6,CIB215,1,1,1,00:13:5f:f9:c1:24,ntu-visitor,-89,11
16:36.7,CIB215,1,1,1,00:19:07:36:49:51,ntu-student,-72,6
16:36.7,CIB215,1,1,1,00:19:07:36:49:53,ntu-mobile,-72,6
16:36.7,CIB215,1,1,1,00:19:07:36:49:52,eduroam,-71,6
16:36.7,CIB215,1,1,1,00:19:07:36:49:50,ntu-staff,-71,6
16:36.7,CIB215,1,1,1,00:19:07:36:49:57,,-72,6
16:36.7,CIB215,1,1,1,00:19:07:36:49:56,,-71,6
16:36.7,CIB215,1,1,1,00:19:07:36:49:55,ntu-wirelessHelp,-71,6
16:36.7,CIB215,1,1,1,00:19:07:36:49:54,ntu-visitor,-71,6
16:36.7,CIB215,1,1,1,00:13:5f:f9:c1:25,ntu-wirelessHelp,-90,11
16:36.7,CIB215,1,1,1,00:13:5f:f9:c1:22,eduroam,-90,11
16:36.7,CIB215,1,1,1,00:13:5f:f9:c1:21,ntu-student,-91,11
16:36.7,CIB215,1,1,1,00:13:5f:f9:c1:23,ntu-mobile,-90,11
16:36.7,CIB215,1,1,1,00:13:5f:f9:c1:20,ntu-staff,-91,11
16:36.7,CIB215,1,1,1,00:13:5f:f9:c1:24,ntu-visitor,-90,11
16:38.0,CIB215,1,1,1,00:19:07:36:49:51,ntu-student,-74,6
16:38.0,CIB215,1,1,1,00:19:07:36:49:53,ntu-mobile,-71,6
16:38.0,CIB215,1,1,1,00:19:07:36:49:52,eduroam,-75,6
16:38.0,CIB215,1,1,1,00:19:07:36:49:50,ntu-staff,-74,6
16:38.0,CIB215,1,1,1,00:19:07:36:49:57,,-73,6
16:38.0,CIB215,1,1,1,00:19:07:36:49:56,,-75,6
16:38.0,CIB215,1,1,1,00:19:07:36:49:55,ntu-wirelessHelp,-74,6
16:38.0,CIB215,1,1,1,00:19:07:36:49:54,ntu-visitor,-74,6
16:38.0,CIB215,1,1,1,00:13:5f:f9:c1:25,ntu-wirelessHelp,-90,11
16:38.0,CIB215,1,1,1,00:13:5f:f9:c1:22,eduroam,-90,11
16:38.0,CIB215,1,1,1,00:13:5f:f9:c1:21,ntu-student,-91,11
16:38.0,CIB215,1,1,1,00:13:5f:f9:c1:23,ntu-mobile,-90,11
16:38.0,CIB215,1,1,1,00:13:5f:f9:c1:20,ntu-staff,-91,11
16:38.0,CIB215,1,1,1,00:13:5f:f9:c1:24,ntu-visitor,-90,11
16:39.2,CIB215,1,1,1,00:19:07:36:49:51,ntu-student,-59,6
16:39.2,CIB215,1,1,1,00:19:07:36:49:53,ntu-mobile,-59,6
16:39.2,CIB215,1,1,1,00:19:07:36:49:52,eduroam,-63,6
16:39.2,CIB215,1,1,1,00:19:07:36:49:50,ntu-staff,-62,6
16:39.2,CIB215,1,1,1,00:19:07:36:49:57,,-60,6
16:39.2,CIB215,1,1,1,00:19:07:36:49:56,,-60,6
16:39.2,CIB215,1,1,1,00:19:07:36:49:55,ntu-wirelessHelp,-60,6
16:39.2,CIB215,1,1,1,00:19:07:36:49:54,ntu-visitor,-63,6
16:39.2,CIB215,1,1,1,00:13:5f:f9:c1:25,ntu-wirelessHelp,-90,11
16:39.2,CIB215,1,1,1,00:13:5f:f9:c1:22,eduroam,-90,11
16:39.2,CIB215,1,1,1,00:13:5f:f9:c1:21,ntu-student,-91,11
16:39.2,CIB215,1,1,1,00:13:5f:f9:c1:23,ntu-mobile,-90,11
16:39.2,CIB215,1,1,1,00:13:5f:f9:c1:20,ntu-staff,-91,11
16:39.2,CIB215,1,1,1,00:13:5f:f9:c1:24,ntu-visitor,-90,11
16:39.2,CIB215,1,1,1,14:e6:e4:e3:f0:c2,MERCURY_PocketAP_E3F0C2,-93,1
16:40.4,CIB215,1,1,1,00:19:07:36:49:51,ntu-student,-59,6
16:40.4,CIB215,1,1,1,00:19:07:36:49:53,ntu-mobile,-59,6
16:40.4,CIB215,1,1,1,00:19:07:36:49:52,eduroam,-61,6
16:40.4,CIB215,1,1,1,00:19:07:36:49:50,ntu-staff,-61,6
16:40.4,CIB215,1,1,1,00:19:07:36:49:57,,-60,6
16:40.4,CIB215,1,1,1,00:19:07:36:49:56,,-60,6
16:40.4,CIB215,1,1,1,00:19:07:36:49:55,ntu-wirelessHelp,-59,6
16:40.4,CIB215,1,1,1,00:19:07:36:49:54,ntu-visitor,-60,6
16:40.4,CIB215,1,1,1,00:13:5f:f9:c1:25,ntu-wirelessHelp,-90,11
16:40.4,CIB215,1,1,1,00:13:5f:f9:c1:22,eduroam,-90,11
16:40.4,CIB215,1,1,1,00:13:5f:f9:c1:21,ntu-student,-91,11
16:40.4,CIB215,1,1,1,00:13:5f:f9:c1:23,ntu-mobile,-91,11
16:40.4,CIB215,1,1,1,00:13:5f:f9:c1:20,ntu-staff,-91,11
16:40.4,CIB215,1,1,1,00:13:5f:f9:c1:24,ntu-visitor,-90,11
16:40.4,CIB215,1,1,1,14:e6:e4:e3:f0:c2,MERCURY_PocketAP_E3F0C2,-93,1
16:41.6,CIB215,1,1,1,00:19:07:36:49:51,ntu-student,-60,6
16:41.6,CIB215,1,1,1,00:19:07:36:49:53,ntu-mobile,-60,6
16:41.6,CIB215,1,1,1,00:19:07:36:49:52,eduroam,-60,6
16:41.6,CIB215,1,1,1,00:19:07:36:49:50,ntu-staff,-59,6
16:41.6,CIB215,1,1,1,00:19:07:36:49:57,,-60,6
16:41.6,CIB215,1,1,1,00:19:07:36:49:56,,-62,6
16:41.6,CIB215,1,1,1,00:19:07:36:49:55,ntu-wirelessHelp,-59,6
16:41.6,CIB215,1,1,1,00:19:07:36:49:54,ntu-visitor,-60,6
16:41.6,CIB215,1,1,1,00:13:5f:f9:c1:23,ntu-mobile,-91,11
16:41.6,CIB215,1,1,1,14:e6:e4:e3:f0:c2,MERCURY_PocketAP_E3F0C2,-93,1
16:42.9,CIB215,1,1,1,00:19:07:36:49:51,ntu-student,-63,6
16:42.9,CIB215,1,1,1,00:19:07:36:49:53,ntu-mobile,-62,6
16:42.9,CIB215,1,1,1,00:19:07:36:49:52,eduroam,-63,6
16:42.9,CIB215,1,1,1,00:19:07:36:49:50,ntu-staff,-62,6
16:42.9,CIB215,1,1,1,00:19:07:36:49:57,,-62,6
16:42.9,CIB215,1,1,1,00:19:07:36:49:56,,-62,6
16:42.9,CIB215,1,1,1,00:19:07:36:49:55,ntu-wirelessHelp,-62,6
16:42.9,CIB215,1,1,1,00:19:07:36:49:54,ntu-visitor,-62,6
16:42.9,CIB215,1,1,1,00:13:5f:f9:c1:23,ntu-mobile,-91,11
16:42.9,CIB215,1,1,1,14:e6:e4:e3:f0:c2,MERCURY_PocketAP_E3F0C2,-93,1
16:44.1,CIB215,1,1,1,00:19:07:36:49:51,ntu-student,-62,6
16:44.1,CIB215,1,1,1,00:19:07:36:49:53,ntu-mobile,-62,6
16:44.1,CIB215,1,1,1,00:19:07:36:49:52,eduroam,-61,6
16:44.1,CIB215,1,1,1,00:19:07:36:49:50,ntu-staff,-61,6
16:44.1,CIB215,1,1,1,00:19:07:36:49:57,,-60,6
16:44.1,CIB215,1,1,1,00:19:07:36:49:56,,-62,6
16:44.1,CIB215,1,1,1,00:19:07:36:49:55,ntu-wirelessHelp,-63,6
16:44.1,CIB215,1,1,1,00:19:07:36:49:54,ntu-visitor,-61,6
16:44.1,CIB215,1,1,1,00:13:5f:f9:c1:23,ntu-mobile,-91,11
16:44.1,CIB215,1,1,1,00:13:5f:f9:c1:22,eduroam,-89,11
16:44.1,CIB215,1,1,1,00:13:5f:f9:c1:25,ntu-wirelessHelp,-91,11
16:44.1,CIB215,1,1,1,00:13:5f:f9:c1:24,ntu-visitor,-92,11
16:45.3,CIB215,1,1,1,00:19:07:36:49:51,ntu-student,-58,6
16:45.3,CIB215,1,1,1,00:19:07:36:49:53,ntu-mobile,-59,6
16:45.3,CIB215,1,1,1,00:19:07:36:49:52,eduroam,-59,6
16:45.3,CIB215,1,1,1,00:19:07:36:49:50,ntu-staff,-59,6
16:45.3,CIB215,1,1,1,00:19:07:36:49:57,,-60,6
16:45.3,CIB215,1,1,1,00:19:07:36:49:56,,-60,6
16:45.3,CIB215,1,1,1,00:19:07:36:49:55,ntu-wirelessHelp,-59,6
16:45.3,CIB215,1,1,1,00:19:07:36:49:54,ntu-visitor,-59,6
16:45.3,CIB215,1,1,1,00:13:5f:f9:c1:23,ntu-mobile,-91,11
16:45.3,CIB215,1,1,1,00:13:5f:f9:c1:22,eduroam,-89,11
16:45.3,CIB215,1,1,1,00:13:5f:f9:c1:25,ntu-wirelessHelp,-91,11
16:45.3,CIB215,1,1,1,00:13:5f:f9:c1:24,ntu-visitor,-92,11
16:46.5,CIB215,1,1,1,00:19:07:36:49:51,ntu-student,-63,6
16:46.5,CIB215,1,1,1,00:19:07:36:49:53,ntu-mobile,-62,6
16:46.5,CIB215,1,1,1,00:19:07:36:49:52,eduroam,-62,6
16:46.5,CIB215,1,1,1,00:19:07:36:49:50,ntu-staff,-61,6
16:46.5,CIB215,1,1,1,00:19:07:36:49:57,,-63,6
16:46.5,CIB215,1,1,1,00:19:07:36:49:56,,-61,6
16:46.5,CIB215,1,1,1,00:19:07:36:49:55,ntu-wirelessHelp,-63,6
16:46.5,CIB215,1,1,1,00:19:07:36:49:54,ntu-visitor,-61,6
16:46.5,CIB215,1,1,1,00:13:5f:f9:c1:23,ntu-mobile,-91,11
16:46.5,CIB215,1,1,1,00:13:5f:f9:c1:22,eduroam,-89,11
16:46.5,CIB215,1,1,1,00:13:5f:f9:c1:25,ntu-wirelessHelp,-91,11
16:46.5,CIB215,1,1,1,00:13:5f:f9:c1:24,ntu-visitor,-92,11
16:47.8,CIB215,1,1,1,00:19:07:36:49:51,ntu-student,-62,6
16:47.8,CIB215,1,1,1,00:19:07:36:49:53,ntu-mobile,-63,6
16:47.8,CIB215,1,1,1,00:19:07:36:49:52,eduroam,-61,6
16:47.8,CIB215,1,1,1,00:19:07:36:49:50,ntu-staff,-62,6
16:47.8,CIB215,1,1,1,00:19:07:36:49:57,,-65,6
16:47.8,CIB215,1,1,1,00:19:07:36:49:56,,-61,6
16:47.8,CIB215,1,1,1,00:19:07:36:49:55,ntu-wirelessHelp,-62,6
16:47.8,CIB215,1,1,1,00:19:07:36:49:54,ntu-visitor,-61,6
16:47.8,CIB215,1,1,1,00:13:5f:f9:c1:23,ntu-mobile,-91,11
16:47.8,CIB215,1,1,1,00:13:5f:f9:c1:22,eduroam,-89,11
16:47.8,CIB215,1,1,1,00:13:5f:f9:c1:25,ntu-wirelessHelp,-91,11
16:47.8,CIB215,1,1,1,00:13:5f:f9:c1:24,ntu-visitor,-90,11
16:49.0,CIB215,1,1,1,00:19:07:36:49:51,ntu-student,-62,6
16:49.0,CIB215,1,1,1,00:19:07:36:49:53,ntu-mobile,-64,6
16:49.0,CIB215,1,1,1,00:19:07:36:49:52,eduroam,-63,6
16:49.0,CIB215,1,1,1,00:19:07:36:49:50,ntu-staff,-63,6
16:49.0,CIB215,1,1,1,00:19:07:36:49:57,,-63,6
16:49.0,CIB215,1,1,1,00:19:07:36:49:56,,-63,6
16:49.0,CIB215,1,1,1,00:19:07:36:49:55,ntu-wirelessHelp,-62,6
16:49.0,CIB215,1,1,1,00:19:07:36:49:54,ntu-visitor,-63,6
16:49.0,CIB215,1,1,1,00:13:5f:f9:c1:25,ntu-wirelessHelp,-91,11
16:49.0,CIB215,1,1,1,00:13:5f:f9:c1:24,ntu-visitor,-90,11
16:50.3,CIB215,1,1,1,00:19:07:36:49:51,ntu-student,-59,6
16:50.3,CIB215,1,1,1,00:19:07:36:49:53,ntu-mobile,-59,6
16:50.3,CIB215,1,1,1,00:19:07:36:49:52,eduroam,-59,6
16:50.3,CIB215,1,1,1,00:19:07:36:49:50,ntu-staff,-59,6
16:50.3,CIB215,1,1,1,00:19:07:36:49:57,,-59,6
16:50.3,CIB215,1,1,1,00:19:07:36:49:56,,-59,6
16:50.3,CIB215,1,1,1,00:19:07:36:49:55,ntu-wirelessHelp,-59,6
16:50.3,CIB215,1,1,1,00:19:07:36:49:54,ntu-visitor,-59,6
16:50.3,CIB215,1,1,1,00:13:5f:f9:c1:25,ntu-wirelessHelp,-91,11
16:50.3,CIB215,1,1,1,00:13:5f:f9:c1:24,ntu-visitor,-90,11
16:51.6,CIB215,1,1,1,00:19:07:36:49:51,ntu-student,-61,6
16:51.6,CIB215,1,1,1,00:19:07:36:49:53,ntu-mobile,-62,6
16:51.6,CIB215,1,1,1,00:19:07:36:49:52,eduroam,-61,6
16:51.6,CIB215,1,1,1,00:19:07:36:49:50,ntu-staff,-62,6
16:51.6,CIB215,1,1,1,00:19:07:36:49:57,,-61,6
16:51.6,CIB215,1,1,1,00:19:07:36:49:56,,-62,6
16:51.6,CIB215,1,1,1,00:19:07:36:49:55,ntu-wirelessHelp,-62,6
16:51.6,CIB215,1,1,1,00:19:07:36:49:54,ntu-visitor,-62,6
16:51.6,CIB215,1,1,1,00:13:5f:f9:c1:24,ntu-visitor,-90,11
16:52.8,CIB215,1,1,1,00:19:07:36:49:51,ntu-student,-76,6
16:52.8,CIB215,1,1,1,00:19:07:36:49:53,ntu-mobile,-75,6
16:52.8,CIB215,1,1,1,00:19:07:36:49:52,eduroam,-75,6
16:52.8,CIB215,1,1,1,00:19:07:36:49:50,ntu-staff,-75,6
16:52.8,CIB215,1,1,1,00:19:07:36:49:57,,-74,6
16:52.8,CIB215,1,1,1,00:19:07:36:49:56,,-75,6
16:52.8,CIB215,1,1,1,00:19:07:36:49:55,ntu-wirelessHelp,-75,6
16:52.8,CIB215,1,1,1,00:19:07:36:49:54,ntu-visitor,-75,6
16:52.8,CIB215,1,1,1,00:13:5f:f9:c1:23,ntu-mobile,-94,11
16:53.9,CIB215,1,1,1,00:19:07:36:49:51,ntu-student,-76,6
16:53.9,CIB215,1,1,1,00:19:07:36:49:53,ntu-mobile,-76,6
16:53.9,CIB215,1,1,1,00:19:07:36:49:52,eduroam,-76,6
16:53.9,CIB215,1,1,1,00:19:07:36:49:50,ntu-staff,-76,6
16:53.9,CIB215,1,1,1,00:19:07:36:49:57,,-77,6
16:53.9,CIB215,1,1,1,00:19:07:36:49:56,,-76,6
16:53.9,CIB215,1,1,1,00:19:07:36:49:55,ntu-wirelessHelp,-76,6
16:53.9,CIB215,1,1,1,00:19:07:36:49:54,ntu-visitor,-75,6
16:53.9,CIB215,1,1,1,00:13:5f:f9:c1:23,ntu-mobile,-94,11
16:55.1,CIB215,1,1,1,00:19:07:36:49:51,ntu-student,-75,6
