timestamp;orient0;orient1;orient2;linAcc0;linAcc1;linAcc2;iR0;iR1;iR2;iR3;iR4;iR5;iR6;iR7;iR8;iR9;iR10;iR11;iR12;iR13;iR14;iR15
2013-11-07 16:36:08.179;0.6192605;0.014404821;-0.09412774;0.10055647;-1.0529999;-2.5010428;0.8114891;-0.5767613;0.09397906;0.0;0.580373;0.8142235;-0.014404321;0.0;-0.0682121;0.06623185;0.99547005;0.0;0.0;0.0;0.0;1.0
2013-11-07 16:36:08.210;0.66336167;0.013382528;-0.0884728;-0.72768766;-0.92296475;0.078410104;0.78557307;-0.612429;0.08834952;0.0;0.6157139;0.78785616;-0.013382137;0.0;-0.0614111;0.06491067;0.9959997;0.0;0.0;0.0;0.0;1.0
2013-11-07 16:36:08.247;0.69568497;0.0043030553;-0.07234571;-1.4404116;-0.02439093;1.9024925;0.76580626;-0.6389961;0.07228195;0.0;0.64090544;0.76760775;-0.004303038;0.0;-0.052734558;0.04962119;0.9973749;0.0;0.0;0.0;0.0;1.0
2013-11-07 16:36:08.277;0.70054966;-0.0048065577;-0.0749462;-0.4902128;-0.15442601;-0.55335987;0.76211005;-0.64310354;0.07487519;0.0;0.64463055;0.7644792;0.0048065376;0.0;-0.06033163;0.044603728;0.9971813;0.0;0.0;0.0;0.0;1.0
2013-11-07 16:36:08.315;0.73335093;-0.01216175;-0.09199589;0.18240824;-0.068534024;-2.955642;0.7390462;-0.66736245;0.0918594;0.0;0.66931343;0.7428807;0.012161456;0.0;-0.076356664;0.052494846;0.9956978;0.0;0.0;0.0;0.0;1.0000001
2013-11-07 16:36:08.354;0.7705805;-0.0191817;-0.10562465;0.6911761;0.04938041;-2.9869163;0.71209913;-0.6941209;0.105408974;0.0;0.69642377;0.7173745;0.019180527;0.0;-0.0889313;0.05975087;0.9942441;0.0;0.0;0.0;0.0;1.0
2013-11-07 16:36:08.392;0.7729071;-0.024691315;-0.10899861;0.7422025;-0.10399814;-1.4248493;0.70976025;-0.69599843;0.10874973;0.0;0.6980065;0.71566564;0.02468881;0.0;-0.09501182;0.058384895;0.99376243;0.0;0.0;0.0;0.0;0.9999999
2013-11-07 16:36:08.426;0.7779812;-0.0274847;-0.11137196;0.47973818;-0.240318;-0.4794389;0.70577496;-0.6996703;0.111099884;0.0;0.7015778;0.7120628;0.027481236;0.0;-0.098337896;0.05854964;0.9934292;0.0;0.0;0.0;0.0;1.0
2013-11-07 16:36:08.458;0.78152347;-0.03091937;-0.11875958;0.6880337;-0.43559507;0.041000705;0.7022615;-0.7020004;0.11842399;0.0;0.704025;0.709502;0.030914452;0.0;-0.105724;0.06166342;0.9924818;0.0;0.0;0.0;0.0;1.0000001
2013-11-07 16:36:08.489;0.7767665;-0.035804905;-0.12930363;0.89812493;-0.41883567;-0.117016606;0.70399475;-0.69841725;0.12886098;0.0;0.7005279;0.7127269;0.03579725;0.0;-0.11684411;0.06506963;0.9910164;0.0;0.0;0.0;0.0;1.0
