Point_No,Trial_X,Trial_Y,Distance,Pos_X,Pos_Y
0,36,7,29.50051583494862,7.216862893617398,13.466177606842773
1,37,7,29.23489945425747,8.277018906700409,12.446990289554208
2,39,7,31.94297864856414,7.7653996868436135,13.689815260528158
3,40,7,33.90935236128085,6.698284737291569,13.390613282228568
4,42,7,38.186328820907846,4.4050889689827635,13.694652596542683
5,43,7,37.33629662756999,6.24826802145884,13.580975796898919
6,44,8,39.28573775943338,5.01163838764852,12.824608801497513
7,44,10,40.2410162988367,3.9069180533287,13.447342858019924
8,44,11,39.30180156187042,4.792685066260126,13.723611884094126
9,44,12,40.612776495211534,3.4275374879802754,13.809115905839299
10,42,14,37.292375346761546,4.710213624633468,14.439421304987484
11,41,14,35.40816675712862,5.604108796542709,14.932286980303333
12,40,14,33.439661244842455,6.644878988298541,16.376309421049854
13,39,14,31.361074303633103,7.800842012120668,17.182691050878432
14,37,14,28.146175057550646,9.073035776776289,17.505971997188354
15,36,14,27.308127111995855,8.843989935524615,16.878354346329626
16,35,14,25.93299096745603,9.328115840394428,17.67074709207109
17,34,14,24.345984393745802,9.839602253978939,17.000356121292025
18,32,14,23.18127522212281,9.112556347805583,17.679190670708767
19,31,14,23.239694307765383,7.884600212949142,16.40035085002003
20,30,14,22.556804964438346,7.458119173081462,14.820401723982128
21,29,15,22.244383540633468,6.7742431810553825,15.910127973387272
22,29,16,21.53348548092627,7.474930042552752,16.601963690154516
23,28,17,20.416430668569333,7.656211334645215,15.279272251667745
24,27,17,19.70334040251385,7.298134986897723,16.758881724394644
25,25,17,16.192639306740436,8.812798856807898,17.419627058274
26,24,17,14.378991071946219,9.727475832961336,18.746550356676366
27,23,17,11.652667140516792,11.60578146643364,19.44058097530336
28,21,17,10.480184303333482,11.03747156433299,20.253043221410334
29,19,17,7.431679959632724,12.566779707249614,20.720691291595056
30,18,17,8.5586226048049,11.00995301446175,21.93854877787443
31,17,17,7.872328325776376,11.45681099779001,22.589866631199648
32,15,17,6.485573104019503,13.451174118670918,23.29792004370541
33,14,17,6.480055803997372,15.880986897571718,23.201049226871493
34,13,17,6.047077089295365,16.29362210282591,22.07140954446173
35,11,17,7.796154609805658,18.093071338452997,20.235485386709485
36,10,17,8.870455542310511,18.856716514572916,17.493512014644658
