BSSIDMerged,OrientationMerged,ForceToMap,KValue,InitialReadings,SpeedBreak,ParticleCount,CloudRange,CloudDisplacement,MeanDistance,StdDev
true,true,true,4,10,30,1,0.01,3.5,5.7982811903712275,3.288216487675296
true,false,true,4,10,30,1,0.01,3.5,5.2617428303814755,3.1862046740231538
